,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
10811,-117.9,33.73,32.0,2930.0,833.0,5116.0,854.0,3.7147,164100.0,0.0
10838,-117.87,33.75,14.0,5526.0,1916.0,6799.0,1796.0,2.6561,144400.0,0.0
10847,-117.88,33.75,34.0,3004.0,673.0,5477.0,640.0,2.8342,187200.0,0.0
10957,-117.9,33.78,25.0,10336.0,2596.0,7111.0,2419.0,3.3627,197900.0,0.0
11241,-117.91,33.75,8.0,2346.0,679.0,3842.0,674.0,3.0635,160000.0,0.0
11658,-121.33,38.77,3.0,20214.0,3559.0,8361.0,3112.0,4.2259,169300.0,1.0
11716,-120.18,39.28,14.0,10098.0,1545.0,701.0,254.0,4.0819,141300.0,1.0
11960,-117.64,33.87,2.0,17470.0,2727.0,5964.0,1985.0,6.2308,257900.0,0.0
11980,-117.28,33.89,33.0,6982.0,1371.0,5650.0,1195.0,2.5379,152700.0,1.0
11988,-117.34,33.98,10.0,17286.0,4952.0,9851.0,4616.0,1.7579,103400.0,1.0
11991,-117.29,33.97,4.0,18767.0,3032.0,8805.0,2723.0,4.6667,160600.0,1.0
12001,-117.21,33.97,3.0,18356.0,2537.0,8437.0,2342.0,5.6409,197700.0,1.0
12010,-117.23,33.91,9.0,11654.0,2100.0,7596.0,2127.0,4.0473,127200.0,1.0
12014,-117.22,33.92,5.0,16884.0,2865.0,9509.0,2688.0,4.0938,130900.0,1.0
12034,-117.27,33.68,8.0,26322.0,4072.0,9360.0,3361.0,5.3238,228900.0,0.0
12083,-117.2,33.58,2.0,30450.0,5033.0,9419.0,3197.0,4.5936,174300.0,0.0
12086,-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,187300.0,0.0
12096,-117.12,33.49,4.0,21988.0,4055.0,8824.0,3252.0,3.9963,191100.0,0.0
12097,-117.12,33.52,4.0,30401.0,4957.0,13251.0,4339.0,4.5841,212300.0,0.0
12109,-116.99,33.73,13.0,16148.0,3474.0,6159.0,3232.0,1.9961,97800.0,1.0
12187,-116.71,33.75,25.0,10665.0,2161.0,1874.0,852.0,3.0625,150500.0,1.0
12248,-116.46,33.79,10.0,6960.0,1487.0,1130.0,661.0,2.1411,136400.0,1.0
12253,-116.42,33.76,14.0,16921.0,2837.0,2524.0,1262.0,7.6281,341700.0,1.0
12256,-116.36,33.78,6.0,24121.0,4522.0,4176.0,2221.0,3.3799,239300.0,1.0
12257,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,194500.0,1.0
12258,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.036,158500.0,1.0
12276,-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7.8005,318100.0,1.0
12311,-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10.2948,382400.0,1.0
12503,-121.53,38.48,5.0,27870.0,5027.0,11935.0,4855.0,4.8811,212200.0,1.0
12583,-121.41,38.59,17.0,12355.0,3630.0,5692.0,3073.0,2.5245,99100.0,1.0
12747,-121.35,38.72,2.0,21897.0,3513.0,8652.0,2873.0,4.5432,151300.0,1.0
12912,-121.15,38.69,52.0,240.0,44.0,6675.0,29.0,6.1359,225000.0,1.0
12925,-121.28,38.55,35.0,7088.0,1279.0,4885.0,1272.0,2.6981,112500.0,1.0
12931,-121.3,38.6,32.0,9534.0,1819.0,4951.0,1710.0,3.3926,103400.0,1.0
12957,-121.35,38.54,12.0,16239.0,3358.0,8656.0,3234.0,3.5691,116300.0,1.0
13016,-121.44,38.43,3.0,39320.0,6210.0,16305.0,5358.0,4.9516,153700.0,1.0
13053,-117.75,34.01,4.0,22128.0,3522.0,10450.0,3258.0,6.1287,289600.0,0.0
13056,-117.76,33.98,3.0,9662.0,1385.0,2497.0,856.0,6.7172,292400.0,0.0
13252,-117.62,34.15,16.0,13556.0,1704.0,5669.0,1668.0,6.5138,311500.0,1.0
13261,-117.61,34.1,9.0,18956.0,4095.0,10323.0,3832.0,3.6033,132600.0,1.0
13586,-117.17,34.12,3.0,15695.0,2248.0,6080.0,1920.0,6.2178,173900.0,1.0
13659,-117.37,34.59,39.0,8193.0,1747.0,6852.0,1597.0,2.3832,35000.0,1.0
13760,-116.57,35.43,8.0,9975.0,1743.0,6835.0,1439.0,2.7138,22500.0,1.0
13761,-116.14,34.45,12.0,8796.0,1721.0,11139.0,1680.0,2.2612,137500.0,1.0
13808,-117.16,34.26,27.0,9285.0,1621.0,1135.0,410.0,2.5446,135200.0,1.0
13826,-116.94,34.24,27.0,12342.0,2630.0,1300.0,566.0,1.998,153500.0,1.0
13834,-116.99,34.3,29.0,5055.0,1036.0,410.0,191.0,3.5104,157100.0,1.0
14074,-117.04,32.7,7.0,9311.0,1703.0,7302.0,1694.0,4.419,156900.0,4.0
14413,-117.18,32.95,4.0,19001.0,2688.0,8980.0,2441.0,6.3237,260900.0,0.0
14615,-116.97,32.56,23.0,1262.0,294.0,5176.0,275.0,2.5625,153300.0,4.0
15035,-117.15,33.02,4.0,15029.0,2279.0,5613.0,1696.0,7.2731,450400.0,4.0
15138,-117.32,33.15,15.0,13245.0,2212.0,5495.0,2060.0,5.4904,262100.0,4.0
15189,-117.31,33.19,11.0,20944.0,3753.0,8738.0,3441.0,4.3762,215500.0,4.0
15212,-117.42,33.35,14.0,25135.0,4819.0,35682.0,4769.0,2.5729,134400.0,0.0
15310,-117.27,33.15,4.0,23915.0,4135.0,10877.0,3958.0,4.6357,244900.0,4.0
15341,-117.18,33.15,7.0,6225.0,1683.0,5410.0,1580.0,2.32,117500.0,0.0
15377,-117.08,33.13,17.0,8466.0,2628.0,7014.0,2267.0,2.1437,113700.0,0.0
15506,-122.41,37.79,52.0,6016.0,2509.0,3436.0,2119.0,2.5166,275000.0,3.0
15508,-122.41,37.79,52.0,5783.0,2747.0,4518.0,2538.0,1.724,225000.0,3.0
15710,-122.4,37.75,44.0,6848.0,1584.0,3269.0,1383.0,2.8679,243300.0,3.0
15853,-122.45,37.74,46.0,6429.0,1093.0,2535.0,1109.0,5.0887,335100.0,3.0
16012,-122.47,37.81,45.0,6927.0,1258.0,4715.0,1165.0,3.4051,500001.0,3.0
16435,-121.29,37.72,22.0,1630.0,404.0,4402.0,358.0,1.9792,63000.0,1.0
16484,-120.65,35.32,20.0,626.0,212.0,3574.0,261.0,1.0298,300000.0,4.0
16510,-120.7,35.32,46.0,118.0,17.0,6532.0,13.0,4.2639,350000.0,4.0
16654,-122.43,37.64,34.0,8400.0,1812.0,4101.0,1717.0,4.1033,301000.0,4.0
16679,-122.46,37.59,21.0,12902.0,2118.0,6160.0,2082.0,5.7653,325800.0,4.0
16861,-122.31,37.5,22.0,14034.0,3020.0,6266.0,2952.0,4.3939,491200.0,4.0
16877,-122.26,37.5,44.0,6983.0,1131.0,2818.0,1115.0,5.6271,374800.0,4.0
16909,-122.19,37.48,35.0,7067.0,1646.0,5380.0,1597.0,4.1776,265300.0,3.0
17247,-120.59,34.7,29.0,17738.0,3114.0,12427.0,2826.0,2.7377,28300.0,4.0
17294,-119.85,34.4,14.0,2307.0,650.0,5723.0,615.0,2.1652,37500.0,4.0
17385,-121.86,37.34,29.0,5274.0,1625.0,6234.0,1639.0,2.5947,177300.0,0.0
17523,-121.83,37.31,19.0,11181.0,1895.0,7817.0,1853.0,5.6058,232700.0,0.0
17603,-121.86,37.37,15.0,8162.0,2124.0,8793.0,2086.0,3.3306,210300.0,0.0
17610,-121.85,37.38,12.0,12980.0,2568.0,8190.0,2515.0,5.2415,286500.0,0.0
17869,-121.98,37.22,46.0,10088.0,1910.0,3728.0,1781.0,5.2321,500001.0,0.0
18172,-122.17,37.43,24.0,3924.0,1142.0,7174.0,950.0,4.0972,387500.0,4.0
18342,-122.06,37.0,14.0,1547.0,374.0,4731.0,348.0,2.4732,131300.0,4.0
18745,-122.17,38.08,7.0,18392.0,2782.0,8276.0,2742.0,6.4232,229200.0,3.0
18804,-121.94,38.27,35.0,10869.0,2226.0,9879.0,2152.0,2.5681,81300.0,1.0
18825,-121.98,38.32,45.0,19.0,5.0,7460.0,6.0,10.2264,137500.0,1.0
19893,-120.03,38.19,26.0,7005.0,1358.0,416.0,189.0,2.125,132500.0,1.0
19909,-120.2,37.84,9.0,13670.0,2453.0,2811.0,1193.0,3.2589,137900.0,1.0
19920,-120.45,37.79,8.0,2687.0,495.0,5087.0,385.0,3.1719,115400.0,1.0
19951,-119.23,34.46,34.0,9280.0,1765.0,4514.0,1693.0,3.2026,227600.0,0.0
20067,-119.27,34.17,15.0,11403.0,2131.0,3327.0,1585.0,4.3693,423300.0,4.0
20074,-119.2,34.19,19.0,9503.0,1769.0,6370.0,1718.0,5.0016,218500.0,4.0
20112,-119.16,34.17,17.0,7982.0,1603.0,6437.0,1596.0,4.1279,223900.0,4.0
20132,-118.96,34.23,14.0,15207.0,2924.0,6301.0,2829.0,3.9699,217000.0,0.0
20219,-118.75,34.18,4.0,16704.0,2704.0,6187.0,2207.0,6.6122,357600.0,4.0
20222,-118.8,34.19,4.0,15572.0,2222.0,5495.0,2152.0,8.6499,500001.0,0.0
20246,-118.9,34.26,5.0,25187.0,3521.0,11956.0,3478.0,6.9712,321300.0,0.0
20320,-121.79,38.54,7.0,1777.0,513.0,4479.0,504.0,1.4653,310000.0,1.0
20337,-121.76,38.55,23.0,8800.0,1857.0,6330.0,1832.0,2.065,219400.0,1.0
20422,-121.39,39.12,28.0,10035.0,1856.0,6912.0,1818.0,2.0943,108300.0,1.0
